


1212123,"Nguyễn Văn A",Công Nghệ Thông tin,2012,20/1/1994,1212123.jpg,Dễ thương,nva@gmail.com,"Âm nhạc: Kpop; Vpop,Điện ảnh: Harry Potter"
"1212124",Trần Văn B,Công Nghệ Thông tin,2012,10/4/1994,1212124.jpg,Tôi là người rất thân thiện,tvb@gmail.com,NULL
1212125,Nguyễn Tấn Công,Công Nghệ Sinh học,2017,20/11/1999,1212125.jpg,Nhìn là biết,ntc@gmail.com,Màu sắc: Hồng,Thể Thao: Điền kinh
NULL,Lê Văn Thụ,Công Nghệ Sinh học,2017,21/11/1999,1212126.jpg,Nóng tính,lvt@gmail.com,Thể thao: Cầu lông,Điện ảnh: Sống chung với mẹ chồng
1212127,Đào Duy Tấn,Công Nghệ Thông tin,2017,22/11/1999,1212127.jpg,Hay thức khuya,ddt@gmail.com,Anime: One punch man
1212128,Trần Bích Phương,Toán,2017,28/2/1999,1212128.jpg,Nói nhiều và nói nhảm,tbp@gmail.com,Thể thao: Cầu lông,Màu sắc: xanh,Game:Starcraft 2
NULL,"Đích Thị Cong",Công Nghệ Thông tin,2017,23/11/1999,1212129.jpg,Cute vô đối,dtc@gmail.com,"Âm nhạc: Kpop,Màu sắc: đỏ,Game:Pikachu,Thú nuôi:Chó"
1212130,Cao Toàn Công,Toán,2017,1/5/1999,1212130.jpg,Đã cưa là phải đổ,ctc@gmail.com,Thể thao: Đá banh,Âm nhạc: Jpop
1212131,"Lê Thị Thu Phương",Vật Lý học,2017,1/1/1999,1212131.jpg,Ít nói,lttp@gmail.com,Điện ảnh: The Avengers
1212132,Nguyễn Bích Hậu,Hải dương,2017,30/4/1999,1212132.jpg,Chăm chỉ + tinh thần tự giác cao,nbh@gmail.com,Thể Thao: Điền kinh


